City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Taylorsville,,,,,,1,1,,,,,,2
Union,,,,1,,,,,1,,,,2
Versailles,1,,,1,1,,1,,2,2,,,8
Vine Grove,,,,,,1,,,,,,,1
Wallingford,,,,,,,,1,,,,,1
Walton,,,,,,,,,1,,,,1
West Liberty,,,,,1,,,1,,,,,2
West Point,,,,,,,,,,,1,,1
White Mills,,,,,,,1,,,,,,1
Williamsburg,1,,,,,,,1,1,,,,3
Williamstown,,,,,1,,,,,1,,,2
Wilmore,,,,,,,1,1,,,,,2
Winchester,,,,,,1,,2,,,,,3
Woodburn,,,,,,,,,1,,,,1
Total,13,14,43,58,77,63,35,59,86,102,57,21,628
