City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Dimock,,,,,,,1,,,,,,1
Dingmans Ferry,,,,1,,,,,,,,,1
Donora,,,,,,,,,2,4,1,,7
Douglassville,,,,,,,,1,,,,,1
Dover,,,,,2,2,,,,,1,,5
Downingtown,1,1,1,1,3,1,1,1,5,5,2,,22
Doylestown,,,,3,8,1,1,1,2,3,2,,21
Drexel Hill,,,1,1,2,1,,,1,2,1,,9
Drums,,,,,1,,,,,,,,1
Du Bois,,,,,,1,,1,,,,,2
DuBois,,,,,1,,,,,3,,,4
Duboistown,,,,,,,,1,,,,,1
Duncannon,,,,,,,,,1,,,,1
Dunmore,,,,1,1,,,1,,1,,,4
Eagleville,,,,,,,,1,,,,,1
East Berlin,,,,,,,2,,,,,,2
East Brady,,,,,,,1,,,,,,1
East Earl,,,,,,,1,,,,,,1
East Norriton,,,,,,,,,,1,,,1
East Oreland,,,,1,,,,,,,,,1
East Petersburg,,,,3,2,,,,1,,,,6
East Stroudsburg,,,,1,,,1,,,3,1,,6
Easton,,,,,1,3,1,,3,1,,,9
Ebensburg,,,,,1,,,,,,1,,2
Eighty Four,,,,,,,,,1,,,,1
elderton,,,,,,,,,,1,,,1
Elizabeth,,,,,1,,,,,,,,1
Elizabeth Township,,,,1,,,,,,,,,1
Elizabethtown,1,1,1,,1,,,,2,3,,,9
Elizabethville,,,,,,,,,,1,,,1
Elkins Park,,,,1,,,,,,1,,,2
Elliottsburg,,,,,,1,,,,,,,1
Ellwood City,,,1,,1,3,,,,,1,1,7
Elverson,,,,,2,3,1,,,,,1,7
Elysburg,,,,,,,,,,1,,,1
Emlenton,,,,,,,1,,,,,,1
Emmaus,,,,1,,1,1,,,1,1,,5
Emporium,,,,,,,,1,,1,,,2
Enola,,,,,,,,,2,4,,,6
Entriken,,,,,1,,,,,,,,1
Ephrata,,,1,1,1,3,1,,,1,,,8
Erdenheim,,,,,,,,,,1,,,1
Erie,1,1,2,7,10,7,1,10,7,6,1,1,54
Everett,,,,,1,,,1,,1,,,3
Export,,,,,,,,,1,,,,1
Exton,,,,1,1,1,,,1,,1,1,6
Factoryville,,,1,,,,,,,,,,1
Fairchance,,,,,1,,,1,,1,,,3
Fairfield,,,,,,,,,,,1,,1
Fairless Hills,,,2,,,,,,,1,,,3
Fairview,,,,,,1,,,,,,,1
Farmington,,,,,,1,,,1,,,,2
Fawn Grove,,,,,1,,,,,,1,,2
Fayetteville,,,,,2,2,,,,,,,4
Feasterville,,,,,,,,,1,,,,1
Fleetwood,,,,,1,,,,,,,,1
Flourtown,,,,,,,,,,1,,,1
Ford City,,,,,,,1,1,,,,,2
Forest City,,,,,,,,,1,,,,1
Fort Indiantown Gap,,,,,,,,,,1,,,1
Fort Loudon,,,1,,,,,,,,,,1
Fort Washington,,,,1,2,1,,1,1,4,1,1,12
Forty Fort,,,,,,,,,1,,1,,2
Foxburg,,,,,1,,,,,,1,,2
Franklin,,,,,1,,,,1,2,,,4
Franklin Forks,,,,,,,,,1,,,,1
Fredonia,,,1,,,,,,,,,,1
Freeland,,,,,,,,,,,1,,1
Freeport,,,,,,1,,,,,1,,2
Friedens,,,,,,,,,,2,,,2
