City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Kerkhoven,,,,,,,1,,,,,,1
Kilkenny,,,,,,,,,1,,,,1
Kimball,,,,,,1,1,1,,,,,3
La Crescent,,,,,,,,,1,,,,1
Lake Benton,,,,,,,,,,1,,,1
Lake Bronson,,,,,1,,,,,,,,1
Lake City,,,,,,1,,1,,,,,2
Lake Crystal,,,,,,1,,,,,,,1
Lake Elmo,1,,,,1,,,,1,2,,,5
Lakeville,1,,,1,2,1,,1,,1,,,7
Lanesboro,,,,,,1,,1,,,,,2
Lauderdale,,,,,,,,,1,,,,1
Le Roy,,,,,,,1,,,,,,1
Le Sueur,,,,,,,,1,,,,,1
Lewiston,,,,1,,,,,,,,,1
Lexington,,,,,,,1,,,,,,1
Lindstrom,,,,1,,,,,1,,,,2
Lino Lakes,,,,,,2,,3,2,,,,7
Litchfield,,,,,1,,1,,,,,,2
Little Falls,,,,,1,1,,,,,,,2
Long Lake,,,,,,1,1,1,,1,,,4
Long Prairie,,,,,1,,1,,,,,,2
Longville,,,,,1,,,,,,,,1
Lonsdale,,,,,,,,,,1,,,1
Lutsen,,,,,1,,,,2,,,,3
Madelia,,,,,,,1,,1,,,,2
Madison,,,,,,1,,,,,,,1
Mahnomen,1,,,,,,,,,,,,1
Mahtomedi,,1,,1,,,,,,,,,2
Mankato,,,2,2,2,1,,3,1,6,,2,19
Maple Grove,,1,2,,3,1,,3,10,3,,2,25
Maple Lake,,,1,,,,,,,,,,1
Maple Plain,,,,,,,,1,,,,,1
Maplewood,,,,,,2,,,2,,,,4
Marine on St. Croix,,,,,,,1,,1,,,,2
Marshall,,,,1,,1,,,,,,,2
McGregor,,,,,1,,,1,,,,,2
Medford,,,,,,1,,,,,,,1
Melrose,,,,,,1,,,,,,,1
Mendota,,,,,,,,1,,,,,1
Mendota Heights,,,,,2,1,,,1,,,,4
Milaca,,,,,1,,,,1,,,,2
Minneapolis,3,6,3,15,16,17,11,19,13,16,6,3,128
Minnetonka,,,,1,1,1,,,2,1,1,,7
Montgomery,,,,,1,,1,,,,,,2
Monticello,,,1,,2,,2,,2,1,,,8
Montrose,,,,1,,,,,,,,,1
Moorhead,,,,,,2,,1,1,1,,,5
Moose Lake,,,,,1,,1,,,,,,2
Mora,,,,,,,,1,,,,,1
Morris,,,,1,,,1,,,,,,2
Morton,,,,,,,1,,,,,,1
Mound,,,,,,,,,1,,,,1
Mounds View,,,,1,,,,1,,,,,2
Mountain Iron,,,,,,,,1,,,,,1
Mountain Lake,,,,,,1,,,,,,,1
Nashwauk,,,,,,,1,,,,,,1
Nerstrand,,,,,,,,,,1,,,1
Nevis,,,,,,,1,1,,,,,2
New Brighton,,1,,,1,1,,2,1,,,,6
New London,,,,,1,,,,1,,,,2
New Prague,,,,,1,,,,,,,,1
New Ulm,,,,,1,,1,,2,1,,1,6
Nicollet,,,,,,1,,,,,,,1
Nisswa,,,,2,,,1,,,,,,3
North Branch,,,,,1,,,,,,,,1
North Mankato,,,,,1,,,1,1,,1,,4
North St. Paul,,,,,,,1,,1,,,,2
Northfield,1,,,,2,,1,,1,2,,1,8
Norwood Young America,,,,,,,,1,,,,,1
Oak Grove,,,,,,1,,,1,,,,2
Oak Park Heights,,,,,,1,,,,,,,1
Oakdale,,,,,,1,,,1,,,,2
Olivia,,,,,,,1,,,,,,1
Orono,,,,,1,,,,,,,,1
Orr,,,,,,,1,,,,,,1
Osakis,,,,,1,,,,1,,,,2
Osseo,,,,,,,,,1,,,,1
Otsego,,,,,,1,,,,,1,,2
Owatonna,,,,,2,,,2,,1,,,5
Park Rapids,,,,,,,1,1,1,,,,3
Paynesville,,,,,,1,,,,,,,1
Pelican Rapids,,,,,,1,,,,,,,1
Pequot Lakes,,,,,,,,1,,,,,1
Perham,,1,,,,4,1,,,,,,6
Pierz,,,,,1,,,1,,,,,2
Pillager,,,,,,,,,2,,,,2
Pine Island,,,,,,1,,,,,,,1
Plainview,,,,,,,,1,,,,,1
Plymouth,,,,2,,2,,1,2,1,,,8
Preston,,,,,1,,,,,,,,1
Princeton,,,,,,1,,1,,1,,,3
Prior Lake,,,,1,1,,,1,,,1,,4
Ramsey,,,,,,2,,,1,,,,3
Raymond,,,,,,,,1,,,,,1
Red Wing,,,,,2,,1,3,,,,,6
Redwood Falls,,,,,,1,,,1,,,,2
Renville,,,,,,,,1,,,,,1
Richfield,,,,,1,1,,1,1,,1,,5
Robbinsdale,,,,,1,,,,,,,,1
Rochester,,,2,1,7,14,7,5,6,4,2,2,50
Rockford,,,,1,,1,,1,2,,,,5
Rogers,,,,1,,,,1,,,,,2
Rollingstone,,,,,,,,1,,,,,1
Rosemount,,,,1,,2,1,1,1,,,,6
Roseville,,,,,1,1,1,1,,1,1,,6
Rush City,,,,,1,,,3,1,1,,,6
Rushford,,,,,,,,,,1,,,1
Saint James,,1,,,,1,,,,,,,2
Saint Paul,,,,,2,2,2,,3,2,3,,14
Saint Peter,,,,,,,1,,,,,,1
Sandstone,,,,,,,,,1,,,,1
Sartell,,,,,2,1,,1,,1,1,,6
Sauk Centre,,,,,,,,,,1,,,1
Sauk Rapids,1,,1,,,1,1,,1,,,,5
Savage,1,,,,1,2,,1,2,1,,,8
Scandia,,,,,,,,,1,,,,1
Shakopee,,,,,1,3,,3,2,3,,1,13
Shoreview,,,,,1,,,,,,,,1
Silver Bay,,,,,,,1,,,,,,1
Sleepy Eye,,,,1,1,1,,1,,,,,4
South Saint Paul,,,,,,1,,,,,,,1
South St. Paul,,,,,1,,,,,,,,1
Spicer,1,,,,,,1,2,,,,,4
Spring Grove,,,,,,,,,,1,,,1
Spring Valley,,,,,1,,,,,,,,1
St Cloud,,,,2,,,,,,,,,2
St Paul,1,,,,1,2,1,,2,3,,,10
St. Augusta,,,,,,1,,,,,,,1
St. Bonifacius,,,,,,,1,,,,,,1
St. Charles,,,,,,,1,,,,,,1
St. Clair,,,,,,1,,,,,,,1
St. Cloud,,,1,,1,1,,1,3,2,,,9
St. Francis,,,,,,1,,,,,,,1
St. Joseph,,,,,1,,,,2,,,1,4
St. Louis Park,1,,,1,,,1,1,3,1,,1,9
St. Michael,,,,,,1,,2,,,,,3
St. Paul,,1,4,2,10,3,7,12,8,6,4,5,62
St. Peter,,,1,1,1,,,,,1,,,4
Staples,,,,,,,,1,,,,,1
Starbuck,,,,,,,1,,,,,,1
Stewartville,,,,,,,1,,,,,,1
Stillwater,,,,,2,1,,,3,,,,6
Taylors Falls,,,,,,,,,1,,,,1
Theilman,,,,2,,,,,,,,,2
Thief River Falls,,,,,2,1,,,,,,,3
Tofte,,,,,,,1,,,,,,1
Tower,,,,,,,1,,,,,,1
Twig,,,,,,,,1,,,,,1
Two Harbors,,1,,,,,1,,,,,,2
Tyler,,,,,,1,,,,,,,1
Ulen,,,,,,,,1,,,,,1
Vadnais Heights,,1,,,,,,,,,,,1
Vergas,,,,1,,,,,,1,,,2
Vining,,,,,,,,1,,,,,1
Virginia,,,,,,1,1,,,1,,,3
Wabasha,,,,,,1,1,,,,,,2
Waconia,,,,2,,2,,2,1,,,,7
Wadena,,,,,,,,1,,1,,,2
Waite Park,,,,,,1,,,,,,,1
Walker,,,,,,,2,1,1,1,,,5
Warroad,,,,,,,,1,,,,,1
Waseca,,,,,,,,1,,,,,1
Watertown,,,,,,,1,,,1,,,2
Waterville,,,,,,1,,,,,,,1
Wayzata,,,,2,1,,,,,,,,3
Welch,,,,,,,,1,,,,,1
Wheaton,,,,,,,,1,,,,,1
White Bear Lake,2,,1,3,2,3,1,2,2,2,2,1,21
Willmar,,,1,,1,1,,2,,2,1,,8
Winona,,1,,1,2,4,1,1,2,2,1,,15
Winthrop,,,,,,,1,,,,,,1
Wirt,,,,,,1,,,,,,,1
Woodbury,2,,,2,1,,,3,,1,1,,10
Worthington,,,,,,1,,,1,,,,2
Wrenshall,,,,,,,,1,,,,,1
Wyoming,,,,,,,,2,,,,,2
Zimmerman,,,,1,,1,,,,1,,,3
Zumbro Falls,,,,,,,,1,,1,,,2
Zumbrota,,,,,,1,,,,,,,1
Total,32,26,32,77,162,183,153,185,187,120,39,25,1221
