City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Flushing,,1,1,2,1,1,,,,2,,,8
Fort Gratiot,,,,,1,,,,,,1,,2
Fowler,,,,,,,1,,,,,,1
Fowlerville,,,,,,,,,2,,,1,3
Frankenmuth,,1,,,,,1,1,1,2,,,6
Frankfort,,,1,,,,,,,,,,1
Fraser,,,,,,,1,,,,,,1
Freeland,,,,1,,1,,,,,,,2
Fremont,1,,,,,,1,,,,1,,3
Fruitport,,,,,,,1,,,,,,1
Gaylord,,1,1,,2,,2,,1,3,1,,11
Gladstone,,,,,,,,,,1,,,1
Glen Arbor,,,,,,2,,1,,,,,3
Gobles,,,,,,,,,,1,,,1
Goodrich,,,,,,,,1,,,,,1
Grand Blanc,,,,,,1,,,1,1,1,,4
Grand Haven,,2,,1,1,,2,,3,1,1,,11
Grand Ledge,,,,,,1,2,,2,,,,5
Grand Rapids,,1,1,5,5,9,4,8,9,8,3,4,57
Grandville,,1,,1,,1,1,,,,,,4
Grass Lake,,,,,,1,2,,1,,,,4
Grayling,,,,,1,,1,,1,,,,3
Greenville,,,,1,,1,,1,,3,,,6
Gregory,,,,,1,1,,2,,,,,4
Grosse Ile,,,1,,1,,,1,,,1,,4
Grosse Pointe,,,,,,,,,1,,,,1
Grosse Pointe Farms,,,,,,,,,1,,,,1
Grosse Pointe Shores,,,,,1,,,,,1,,,2
Grosse Pointe Woods,,,,1,,,,,,,,,1
Gwinn,,,,,1,,,,,,,,1
Hale,,,,,,,1,,1,,,,2
Hamilton,,,,,,,1,,,,,,1
Hamtramck,,1,,,,,,,1,,,,2
Hancock,,,,,,,1,,,1,1,,3
Hanover,,,,,,,1,,,,,,1
Harbor Beach,,,,,,,,1,1,,,,2
Harbor Springs,,,,,,,1,,1,,,,2
Harrison,,,,,,3,,,1,,,,4
Harrison Township,1,,1,,,1,,,,1,,,4
Harsens Island,,,,,,,1,,,,,,1
Hart,,,,,,,,,1,,,,1
Hartford,,,,,,1,,,,,,,1
Hartland,,,,,1,,,,,,,,1
Haslett,,,,,1,,,1,1,,1,,4
Hastings,,,,,,,1,1,1,,1,,4
Hell,,,,,,,,,1,,,,1
Hemlock,,,,1,,,,,1,1,,,3
Hersey,,,,,,,1,,,,,,1
Hesperia,,,,,,,,,1,,,,1
Hessel,,,,,,,,,,,,1,1
Hickory Corners,,,,,,1,,,,,,,1
Highland,,,,,1,,,,1,,1,,3
Highland Park,,,,,,,,,,1,,,1
Hillsdale,,,,,,,1,1,1,1,,,4
Holland,,,,1,1,6,2,5,2,2,1,1,21
Holly,,,,,2,,1,1,1,1,,1,7
Holt,,,,,,,,1,1,3,,,5
Hopkins,,,,,,,1,,,,,,1
Houghton,,,,,1,,1,1,,1,,,4
Houghton Lake,1,,,1,,,,,,,,,2
Howard City,,,,,,,,,1,,,,1
Howell,,2,,1,1,1,2,3,1,1,1,,13
Hubbard Lake,,,,,,,,1,,,,,1
Hubbardston,,,,,1,,,,,,,,1
Hudson,,,,,,1,1,,,,,,2
Hudsonville,,,1,1,,,,,,1,,,3
Huntington Woods,,,,,,1,,,,,,,1
Imlay City,,,,,,,1,,,,1,,2
Inkster,,,,,,1,,,,,,,1
Interlochen,,,,,,,1,,,,,,1
Ionia,,,1,,1,1,2,,1,,,1,7
Ira Township,,,,,,,1,,,,,,1
Iron Mountain,1,,,,,1,,1,1,1,,,5
Iron River,,,,,,,,1,,,,,1
Ishpeming,,,,,,,,2,,,,,2
Ithaca,,,,,,1,1,1,1,,,,4
Jackson,1,,,1,4,1,1,1,1,1,3,1,15
Jenison,,,,,2,1,,,,,,,3
Johannesburg,,,,,1,,1,,,1,,,3
Kalamazoo,1,2,1,4,7,3,1,2,4,4,1,1,31
Kalkaska,,,,1,1,,,,,,,,2
Kent City,,,1,,,,,,,,1,,2
Kentwood,,,,,,,,2,1,,,,3
Kinde,,,,,,,,,1,,,,1
Kingsley,,,,,,,2,,,,,,2
L'Anse,,,,,,1,,,,,,,1
Laingsburg,,,,,,,1,2,2,,,,5
Lake City,,,,1,,,1,,,,,,2
Lake Odessa,,,,,,2,,,,,,,2
Lake Orion,,,,,1,1,,1,2,2,1,,8
Lakeport,,,,,,,,1,,,,,1
Lakeview,,,,,,,,,1,,1,,2
Lansing,2,1,3,4,12,8,5,3,8,7,3,3,59
Lapeer,,,,,,,,1,,1,,,2
Laurium,,,,,,,,,1,,,,1
Lawton,,,,,1,,,,,,,,1
Le Roy,,,,,,1,1,,,,,,2
Leland,,,,,,,1,,,,,,1
Leonard,,,,,,,,,1,,,,1
Leonidas,,,,,,,,,1,,,,1
Leslie,,,,,,,,,,1,,,1
Levering,,,,,1,,,,,,,,1
Lexington,,,,,,,1,,1,,,,2
Linden,1,,,,,3,,,,1,1,,6
Litchfield,,,,,,,,1,,,,,1
Livonia,5,4,4,5,5,6,5,4,5,6,4,4,57
Lowell,,,,1,,,1,2,,1,,,5
Ludington,,,1,,,1,,1,1,1,1,,6
