City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Stamford,,,,2,2,4,,,6,4,1,,19
Sterling,,,,,,,,,1,,1,,2
Stonington,,,,,,,1,,,,,,1
Storrs,,,1,,,,,,,3,,,4
Stratford,,1,,,1,,,2,2,1,2,,9
Suffield,,,,,1,,,,2,,,,3
Terryville,,,1,,1,,,,,,,,2
Thomaston,,,,,,,,,,,1,,1
Thompson,,,,,1,,,,,1,1,1,4
Tolland,,,,1,,,,,,1,,,2
Torrington,,,,,,2,,1,1,,1,,5
Trumbull,,,,,,1,1,,1,1,1,2,7
Uncasville,,,,,,,,,1,1,,,2
Union,,,,,,,,,,1,,,1
Unionville,,,,,,,,,1,,,,1
Vernon,,,,1,2,,,,,,,,3
Wallingford,,,,,,1,1,,1,,1,,4
Warren,,,,,,,,,,1,,,1
Washington Depot,,,,,,,,1,,1,,,2
Waterbury,,,,1,2,,,,2,1,2,,8
Waterford,,,1,,,,,1,2,1,1,,6
Watertown,,,,1,,1,,1,2,3,,,8
Weatogue,,,,,,,,,1,,,,1
West Harford,,,,,,,,,,,,1,1
West Hartford,,1,1,1,1,5,,,2,1,1,,13
West Haven,,,1,,1,,,1,1,1,,,5
Westbrook,,,,,,,,,,1,,,1
Weston,,,,,1,,1,,,1,,,3
Westport,,,2,,3,1,5,4,2,2,,1,20
Wethersfield,,,,,,,,1,,,1,,2
Willimantic,,1,2,1,,,1,,,,,,5
Wilton,,,,,1,,,,1,1,1,,4
Windham,,,1,,,,,,,,,,1
Windsor,,,,1,1,,,,1,,,,3
Windsor Locks,,,,1,,,,,,,,,1
Winsted,,,,,,,,1,,2,,,3
Wolcott,,,,,1,,,,,,,,1
Woodbridge,,,,,,,,,1,,,,1
Woodbury,,,,,,,,,1,,,,1
Woodstock,,,,,2,,,,,,,,2
Woodstock Valley,,,,,,1,,,,,,,1
Total,10,12,44,62,111,98,77,75,97,122,62,18,788
