City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Edwards,,,,,,,,,,,1,,1
Edwards AFB,,,,,1,,,,1,,,,2
El Cajon,,,1,,,,1,,,,,,2
El Centro,1,1,,1,,,,,,1,,,4
El Dorado Hills,,,1,,,,,1,1,1,,,4
El Monte,,,,,,,,1,,,,,1
El Segundo,,,1,,,,,,,,,,1
El Sobrante,1,,,1,2,,,,1,2,1,,8
Elfin Forest,,,,,,,,,,1,,,1
Elk Grove,,,1,,,1,,1,,2,1,,6
Elverta,,,,1,,,,,,,,,1
Emerald Bay State Park,,,,,,,,,1,,,,1
Encinitas,,,1,,,,,,,1,1,,3
Encino,,,,1,,,,,,,,,1
Escalon,,1,,,,,1,,,,,,2
Escondido,1,,,,1,,,,1,,1,1,5
Eureka,,,,,,,,1,1,,,,2
Exeter,,,1,1,,,1,1,,,,,4
Fair Oaks,,,,,1,,,,,,,,1
Fairfax,,,,,,,,,1,,,,1
Fairfield,1,,,,1,,,1,,1,1,,5
Fallbrook,,,,,1,,,,,,1,,2
Fawnskin,,,,,,,,,,1,,,1
Felton,,,,,,,,1,,,,,1
Ferndale,,,,,,,,,1,,,,1
Fillmore,,,,,1,,,,,,,,1
Fish Camp,,,,,,1,,,,,,,1
Folsom,2,1,1,2,8,4,1,2,1,4,1,,27
Fontana,,,,,,2,1,,,1,,,4
Forest Ranch,,,,,,,,,1,,,,1
Foresthill,,,,,,,,1,,,1,,2
Forestville,,,,1,,,,,,,,,1
Fort Bragg,,,1,,,,,,,1,1,,3
Fort Jones,,,,,,,,,,,1,,1
Foster City,1,,,,,,,,,,,,1
Fountain Valley,,1,1,,1,,,,3,1,4,,11
Fremont,1,,1,,2,,1,,4,3,2,1,15
Fresno,2,3,4,9,,5,5,4,6,9,5,2,54
Friant,,,,,,,,,,1,1,,2
Fullerton,,,,1,1,,,,,,,,2
Galt,,1,,,,,1,,,1,,,3
Garden Grove,,,,,1,,,,,,,,1
Geyserville,,,,,,,,,,1,,,1
Gilroy,,,,,1,1,,1,,1,,,4
Glendale,,,,,1,,1,,,,,1,3
Glendora,,,,,,,,,,,1,,1
Goleta,,,,,,,1,1,1,,,,3
Graeagle,,,,,,,1,,,,,,1
Granada Hills,,,,,,,,,,1,,,1
Granite Bay,4,5,2,6,6,1,1,3,2,1,1,,32
Grass Valley,1,,,1,1,,,,,,1,,4
Greenville,,,,,,,,2,,,,,2
Grover Beach,,,,,,,,1,,,,,1
Gualala,,,,,,,,,,1,,,1
Guerneville,,,,,1,,3,,,,,,4
