County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Kent,1,1,4,4,6,4,3,3,3,5,4,2,40
New Castle,3,4,14,29,27,12,5,10,26,43,11,2,186
Sussex,2,2,6,11,14,16,10,13,10,8,6,3,101
Total,6,7,24,44,47,32,18,26,39,56,21,7,327
