State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Alabama,2,7,11,13,14,5,,,4,11,13,2,82
Alaska,1,1,1,2,2,4,4,6,1,2,1,,25
Arizona,10,11,14,11,9,7,5,8,13,15,14,4,121
Arkansas,1,1,4,6,8,4,,2,2,10,10,1,49
California,42,51,58,73,93,50,43,46,73,102,105,44,780
Colorado,7,4,3,16,14,28,12,21,25,19,7,3,159
Connecticut,1,,3,6,10,8,,5,12,6,1,,52
Delaware,1,,2,4,2,1,1,2,1,3,2,,19
District of Columbia,,2,2,,1,1,,,,7,4,1,18
Florida,22,31,34,26,22,3,5,4,14,32,31,25,249
Georgia,7,23,25,20,22,17,11,13,20,31,19,11,219
Hawaii,5,1,5,3,2,5,4,3,5,4,6,2,45
Idaho,,1,4,8,9,9,11,6,12,10,4,1,75
Illinois,2,4,8,18,25,15,15,20,27,21,16,2,173
Indiana,1,3,11,13,15,12,6,13,26,19,15,6,140
Iowa,,,5,7,18,17,7,14,10,11,2,,91
Kansas,,1,4,9,8,11,9,9,11,10,5,,77
Kentucky,1,1,2,6,8,2,2,4,8,10,2,,46
Louisiana,1,7,8,3,3,,,,2,2,4,2,32
Maine,,1,,5,3,7,3,10,2,5,2,1,39
Maryland,3,,4,8,8,9,6,6,8,10,18,3,83
Massachusetts,12,4,6,10,19,14,7,7,16,17,10,3,125
Michigan,6,5,12,25,41,37,41,35,42,38,23,8,313
Minnesota,7,6,1,11,19,16,24,17,24,13,9,4,151
Mississippi,5,4,3,5,9,,2,,1,5,4,2,40
Missouri,2,4,10,8,25,15,10,12,25,24,14,2,151
Montana,,,2,7,8,15,9,7,6,5,3,,62
Nebraska,1,2,4,9,4,9,7,3,12,7,1,1,60
Nevada,2,4,2,6,5,4,4,3,2,10,7,5,54
New Hampshire,1,,1,2,7,1,5,2,2,5,2,,28
New Jersey,1,,3,9,10,7,1,2,10,14,6,1,64
New Mexico,1,4,4,8,7,8,4,3,10,9,8,2,68
New York,4,3,7,21,32,19,14,29,22,40,21,9,221
North Carolina,5,6,19,21,27,16,11,12,26,22,20,12,197
North Dakota,,1,,5,3,7,4,4,4,7,2,,37
Ohio,2,7,6,16,18,24,11,28,25,25,10,5,177
Oklahoma,2,5,7,4,2,8,2,2,8,7,5,2,54
Oregon,8,10,17,23,37,24,29,24,27,35,16,5,255
Pennsylvania,4,7,12,31,19,29,11,20,17,40,10,6,206
Rhode Island,,1,,2,2,2,,,,2,1,1,11
South Carolina,4,5,8,5,7,1,3,1,7,14,10,3,68
South Dakota,,,,2,3,10,7,,,3,1,,26
Tennessee,2,4,11,9,13,3,3,5,15,14,13,5,97
Texas,32,22,38,48,52,19,18,22,53,64,55,26,449
Utah,1,4,10,4,16,10,14,8,16,14,6,2,105
Vermont,,,3,,8,8,8,5,6,9,3,,50
Virginia,6,8,6,26,27,8,7,8,14,23,18,5,156
Washington,8,10,16,18,23,28,23,20,34,29,17,13,239
West Virginia,,,1,1,2,1,3,4,4,4,1,,21
Wisconsin,9,8,7,12,24,31,25,19,35,21,10,3,204
Wyoming,,,3,,2,6,2,4,4,1,2,,24
Total,232,284,427,605,767,595,453,498,743,861,589,233,6287
