City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Herbster,,,,,,,,1,,,,,1
Hewitt,,,,,,,,,,,1,,1
Hilbert,,,,,,,,1,,,,,1
Hillsboro,,,,,,1,,,2,,,,3
Hingham,,,,,1,,,,,,,,1
Holcombe,,,,,2,,,,,,,,2
Holmen,,,,,,,,,1,,,,1
Horicon,,,,,,1,,,,2,,,3
Hortonville,,,,,1,,,,,,,,1
Howard,,,,,,1,,,,,,,1
Hubertus,,,,,,1,,,,,,,1
Hudson,1,1,,,2,3,,4,4,1,,,16
Hurley,,,,,,,,1,,,,,1
Hustler,,,,,,,,1,1,,,,2
Iola,,1,,1,,,,,,1,,,3
Ixonia,,,,,,,,,1,,,,1
Jackson,,,,,,,,1,,1,,,2
Janesville,,2,1,,3,3,1,2,1,,2,,15
Jefferson,,,,,1,1,,,2,1,,,5
Johnson Creek,,,,,,1,,1,,1,,,3
Juda,,,,,1,,,,,,,,1
Juneau,,,,,,1,,,,,,,1
Kansasville,,,,,,,,,1,,,,1
Kaukauna,,,,,,,1,1,,,,,2
Kellner,,,,,,1,,,,,,,1
Kenosha,,,,3,4,5,2,3,1,2,4,1,25
Kettle Moraine State Forest,,1,,,,,,,,,,,1
Kewaskum,,,,1,,1,1,,,,1,,4
Kewaunee,,,,,,,1,1,,,,,2
Kiel,,,,,1,,,1,,,,1,3
Kimberly,,,1,,,,1,,1,,,,3
Kohler,,,,,2,1,,2,,,,,5
Kronenwetter,,,,,,,,,1,,,,1
La Crosse,,,3,,3,1,1,2,1,2,3,1,17
La Farge,,,,,1,,,,,2,,,3
La Grange,,,,,2,1,,,,,3,,6
Lac du Flambeau,,,,,,,,,1,,,,1
Lake Delton,,,,,,,,,1,,,,1
Lake Geneva,1,,,,2,3,,,1,,1,,8
Lake Mills,,,,,,2,,1,,,1,,4
Lancaster,,,1,,1,,,,,,,,2
Land O'Lakes,,,,,,1,,,,,,,1
Lebanon,,,,,,,1,,,,,,1
Lena,,,,,,,,,1,,,,1
Little Chute,,,,1,,,,,,,,,1
Lodi,,,,1,,1,,,,1,,,3
Lomira,,,,,,,1,,,,,,1
Luck,,,,,,1,,,,1,,,2
Luxemburg,,,,,,1,1,,,,,,2
Madison,4,4,2,11,9,12,6,9,8,14,6,5,90
Manawa,,,,,,,1,,,,,,1
