City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Stockton,,,,,,,,,1,,,,1
Sulligent,,,,,,,,,,1,,,1
Sumiton,,,,,,,,,,1,,,1
Sylacauga,,,,,,,,,,1,3,,4
Talladega,,,1,,,,,,,,,1,2
Tanner,,,,,,,,,1,,,,1
Tarrant City,,,,,,1,,,,,,,1
Thomasville,,,,,1,,,,,1,,,2
Thorsby,,,,,,,,,,1,,,1
Town Creek,,,,,,,,1,,,1,,2
Trafford,,,,,1,,,,,,,,1
Troy,,,2,1,1,,,,,,,,4
Trussville,,,,2,1,,,,,1,2,,6
Tuscaloosa,,2,2,4,,1,,1,,1,1,,12
Tuscumbia,,,,,,,,,,,,1,1
Valley,,1,1,,2,,,,,,1,,5
Vandiver,,,,,,,,,,,1,,1
Vestavia Hills,2,,,,,,,1,,,,,3
Vincent,,,,1,,,,,1,,,,2
Warrior,,,,,,,,,,,1,,1
Weaver,,,,,,,,,1,,,,1
Wedowee,,,,1,,,,,,,,,1
West Blocton,,,,,,1,,,,,,,1
Wetumpka,1,,3,,,,2,,,2,2,2,12
Winfield,,1,,,,,,,1,,,,2
Woodland,,,,,1,,,,,,,,1
Total,27,46,91,108,94,53,33,51,63,96,76,35,773
