City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Sterling,,,1,,,2,1,,1,,1,,6
Strasburg,,,1,,,,,,,,,,1
Superior,,,,,,,1,,1,,,1,3
Telluride,,,,,,,1,,,,,,1
Thornton,,,,,1,,,1,4,1,1,1,9
Trinidad,,,,,,,,,1,,1,,2
Vail,,,1,,1,2,2,2,1,,,,9
Walden,,,,,,,1,,,,,,1
Walsenburg,,,,,,,,,1,,,,1
Wellington,,,,,,,,,,1,,,1
Westcliffe,,,,,,1,,1,1,,,,3
Westminister,2,1,1,3,,,,,,,,,7
Westminster,2,1,1,3,6,4,3,10,7,6,2,1,46
Wheat Ridge,,,,,1,2,,,1,1,,,5
Wiggins,,,,,,,1,,,,,,1
Windsor,,,,1,1,,,,2,,,,4
Winter Park,,1,1,,,2,1,1,,,,,6
Wolcott,,,,,,,,,,2,,,2
Woodland Park,,,,,,,,1,2,,,1,4
Yuma,,,,,,,,,,,1,,1
Total,29,24,32,91,141,144,121,159,148,114,64,29,1096
