County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Twiggs,,,,1,,,,,,,,,1
Union,,1,2,1,1,,,,,2,1,,8
Upson,,,1,,,,,,,,,1,2
Walker,,,,1,,,,,,,,2,3
Walton,,,3,4,2,1,1,1,3,4,1,2,22
Ware,,,1,,1,1,,1,,,,,4
Warren,,,1,,,,,,,,,,1
Washington,,,1,1,,1,,,,1,,,4
Wayne,,3,1,,,,,,2,2,2,1,11
Wheeler,,,1,,,,,,,,,,1
White,1,,,,1,1,,,1,1,1,,6
Whitfield,,,5,3,1,,1,1,2,2,1,2,18
Wilcox,,,,,1,,,,,,,,1
Wilkes,,,,1,,,,,,1,,,2
Wilkinson,,,,,,1,,,,1,,,2
Worth,,,1,1,,,,1,,1,,,4
Total,82,116,253,271,262,130,82,139,203,307,207,128,2180
