County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
San Saba,,,1,,,,1,,,,,,2
Shelby,,,,,,,,,,1,,,1
Smith,1,,2,10,2,,,,3,4,3,1,26
Somervell,,1,,,,,,,1,1,1,,4
Stephens,,,,,,,,,,,1,,1
Tarrant,15,7,24,38,32,18,15,17,25,38,41,14,284
Taylor,1,,2,3,1,3,,2,4,3,2,,21
Terry,,,,,,,1,,,,,,1
Titus,,,,,,,,,,2,,,2
Tom Green,,,1,,1,2,2,2,2,2,2,,14
Travis,6,11,8,20,19,10,7,7,14,13,10,11,136
Trinity,,,,1,,,,,,,,,1
Tyler,,,,1,,,,,,,,,1
Upshur,,,1,,1,,,,,,,1,3
Upton,,,,,2,,,,,,,,2
Uvalde,,,,,,,,,,,1,,1
Val Verde,,,1,,,,,,,1,,,2
Van Zandt,,,,3,3,,,,,,,1,7
Victoria,,,2,1,2,,1,,1,2,4,,13
Walker,2,3,1,2,3,3,1,1,3,3,3,1,26
Waller,,,,1,1,1,,1,,,1,1,6
Ward,1,,,,,1,,1,,,,,3
Washington,,,,2,1,,,,,1,,,4
Webb,,2,1,1,3,1,1,,,2,,,11
Wharton,,,,1,1,,,,,,1,,3
Wheeler,,,,,,,,,,1,,,1
Wichita,3,,2,2,2,,,1,2,4,3,2,21
Williamson,5,6,9,14,9,4,3,4,7,17,7,4,89
Wilson,,1,,,1,,,,,1,,,3
Wise,,,1,3,1,1,,,3,2,1,,12
Wood,,,,1,,,,,,,1,,2
Young,,,1,,1,,,,,2,,,4
Zapata,1,,,1,1,,1,,,,,,4
Total,131,157,273,406,341,159,153,129,296,412,360,192,3009
