City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Moberly,,,,,,,,1,,,,,1
Monett,,,,,,,,,,1,,1,2
Monroe City,,,,,,1,,,,,,,1
Montgomery City,,,,,,,,,,2,,,2
Moscow Mills,,,,,,,,,,,1,,1
Mount Vernon,,,,,,,,,,,1,,1
Mountain Grove,,,,,,,1,,,,,,1
Neosho,,,1,,,1,,,1,,,,3
New London,,,,,,1,,,,,,,1
Nixa,,,,,,1,,,1,,,,2
North Kansas City,,,,,,,,,,,,1,1
O Fallon,,,,,,,,1,,1,,,2
O'Fallon,,,,,1,1,1,,2,,2,,7
Oak Grove,,,1,,,1,,,,,,,2
Odessa,,,,,,,,2,,,,,2
Olivette,,,,,,,,,1,,1,,2
Oregon,,,,,,,,,1,,,,1
Osage Beach,,1,,,1,,,,1,,,,3
Osceola,,,,,,1,,,,,,,1
Owensville,,,,,,,,,1,,,,1
Ozark,,,,2,,1,1,3,1,1,3,,12
Palmyra,,,,1,,,,,,,,,1
Park Hills,,,1,,,,,,,,,,1
Parkville,,,,,2,,1,1,1,2,1,1,9
Peculiar,,,1,1,,,,,,,,,2
Perryville,,,,,,,,1,,,,,1
Piedmont,,,,,,,,,,2,,,2
Pierce City,,,,,,,,,,,1,,1
Pineville,,,,,,,,,,1,,,1
Platte City,,,,,,,1,,,,,,1
Pleasant Valley,,,,,,,,,,1,,,1
Poplar Bluff,,,,3,1,,1,,,,,,5
Potosi,,,,,1,,,,,,,,1
Raytown,,,,,1,,,,,,,,1
Reeds Spring,,,1,,,,,,,,,,1
Republic,,1,,1,1,,,2,1,,1,1,8
Richmond Heights,,,,,,,,,,1,,,1
Rocheport,,,1,,1,,,,,,,1,3
Rolla,,1,2,2,3,4,4,1,2,2,1,2,24
Saddlebrooke,,,,,,,,,1,,,,1
Saint Charles,,,,,,,,,,,,1,1
Saint Joseph,,,,1,1,,,,,,,,2
Saint Louis,,,1,,,,,,,3,1,,5
Salem,,,1,,,,,1,,,1,,3
Salisbury,,,,,,1,,,,,,,1
Sarcoxie,,1,,,,,,,,,,,1
Savannah,,,,,,,,1,1,,,,2
Sedalia,,,1,,2,1,2,,1,3,1,,11
Seligman,,,,,,,,,,1,,,1
Shrewsbury,,,,1,,,,,,,,,1
Sikeston,,,1,1,,,,,,,,,2
Smithville,,,,,,,2,1,1,,,,4
Southwest City,,,,,1,,,,,,,,1
Sparta,,1,,,1,,1,,,,,,3
Springfield,2,2,8,12,11,5,4,6,6,12,4,4,76
St Louis,,,,1,2,2,,2,,1,2,,10
St. Albans,,,,,,1,,,,,,,1
St. Charles,,1,1,,3,,4,,3,2,1,,15
St. James,,,,1,,,,2,,,1,,4
St. Joseph,,,1,3,1,,,1,1,,,,7
St. Louis,4,3,9,10,9,9,5,7,19,15,17,13,120
St. Peters,,,,1,1,2,,,2,,,,6
Ste Genevieve,,,,,1,,,,,,,,1
Ste. Genevieve,,1,,2,,1,,,,,1,,5
Steelville,,,,,,,,,1,,1,,2
Stockton,,,1,1,1,,,1,,,,,4
Sturgeon,,,,,,1,,,,,,,1
Sullivan,,,,1,,,,,1,2,,,4
Sunset Hills,,,,,,,,1,,,1,,2
Sweet Springs,,,,1,,,,,,,,,1
Thornfield,,,1,,,,,,,,,,1
Town and Country,,,,,,,,,,1,,,1
Trenton,,,,,,,,,,1,,,1
Troy,,,1,1,1,,,,,,,,3
Union,,,,1,,1,,1,,,,,3
Unity Village,,,,,1,,,,,,,,1
University City,1,,,,1,,,,,,,,2
Versailles,,,,,,,,,,,1,,1
Vienna,,,,,,,,,1,,,,1
Warrensburg,,,,1,,,,,1,3,1,,6
Warrenton,,,,,,,,,1,,,,1
Warsaw,,,,,2,2,,,,,,,4
Warson Woods,,,,,,,,,,,1,,1
Washburn,,,,,,1,,,,,,,1
Washington,,,1,,2,1,1,2,1,,,,8
Waynesville,,,,1,,,,,,3,,,4
Weatherby Lake,,,,,,,,,1,,,,1
Webb City,,,,1,,1,,,,,,,2
Webster Groves,,,,,2,1,,,,1,,1,5
Wentzville,,,1,,1,,,1,,,,,3
West Plains,,1,1,1,,,,,,,,,3
Weston,,,,,,,1,,,,,,1
Whiteman Air Force Base,,,,,1,,,,,,,,1
Wildwood,1,,,1,2,,,,,1,,,5
Willard,,,,1,,,,1,,,1,,3
Willow Springs,,,,,,,,,,,,1,1
Wright City,,,,,1,,,,,1,,,2
Total,17,28,82,116,137,88,73,77,135,140,112,37,1042
