County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Fairfield,3,3,11,12,28,29,19,20,29,34,18,6,212
Hartford,2,2,4,10,28,18,21,13,18,19,10,4,149
Litchfield,1,4,6,6,9,14,10,16,11,17,7,5,106
Middlesex,,,1,4,6,5,5,5,4,7,3,,40
New Haven,3,1,9,19,20,16,6,6,21,25,14,1,141
New London,1,1,6,4,12,9,3,6,9,5,4,1,61
Tolland,,,3,3,3,4,11,5,1,9,2,,41
Windham,,1,4,4,5,3,2,4,4,6,4,1,38
Total,10,12,44,62,111,98,77,75,97,122,62,18,788
