City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Greensboro,2,1,5,10,7,8,,6,7,10,10,3,69
Greenville,,3,6,9,2,2,,,4,6,7,1,40
Grifton,,,,1,1,,,,,1,,,3
Hallsboro,,,,,,,,,1,,,,1
Hamlet,,,1,,,,,,,1,,,2
Hampstead,,1,,1,,,,1,1,,2,,6
Harkers Island,,,1,,,,,,,,,,1
Harrisburg,,,1,1,,,,,,,,1,3
Hatteras,,,,,1,,,,,,1,,2
Havelock,1,,,,,,,,,1,,,2
Hayesville,1,,,,,,,,,,,,1
Henderson,,,,,1,1,,,,,,,2
Hendersonville,,1,2,3,3,1,,,2,4,2,1,19
Hertford,,,,,,,,,,1,,,1
Hickory,,,,1,2,2,,1,2,2,2,1,13
Hiddenite,,,,,1,,,,1,,,,2
High Point,,,,1,2,,,2,2,2,3,2,14
Highlands,,,,,1,1,,1,,,,,3
Hillsborough,1,,,1,2,,,,,,,,4
Hobbsville,,,,,1,,,,,,,,1
Hobgood,,,,,,,,,,1,,,1
Holden Beach,,,1,,,,,,1,1,1,,4
Hollister,,,,1,1,,,,,1,,,3
Holly Ridge,,,,1,,,,,,,,,1
Holly Springs,,,,1,,,,,,1,,2,4
Hope Mills,,,,1,,1,,1,1,1,2,1,8
Hudson,,,1,,1,,,,,,1,,3
Huntersville,1,,4,4,6,2,2,1,2,2,2,3,29
Indian Trail,,,,1,,,1,1,1,,,,4
Iron Station,,,,,,,,,,1,,,1
Jacksonville,,,1,3,3,2,,1,3,5,2,2,22
Jamestown,,,,2,1,,,,,,1,1,5
Jarvisburg,,1,,,1,,,,,,,,2
Jonas Ridge,,,,,,,1,,,1,,,2
Jonesville,,,,,1,,,,,,,,1
Kannapolis,,,1,2,1,,,,,1,,1,6
Kelly,,,,1,,,,,,,,,1
Kenansville,,,1,,,,,,,,,,1
Kernersville,,,,1,2,,1,,,1,,1,6
Kill Devil Hills,,,,1,,,1,,,,,,2
King,,,1,,,,,,1,2,,,4
Kings Mountain,1,,1,,2,,,,,1,,1,6
Kinston,,1,2,,,,,,1,2,1,,7
Kitty Hawk,,,1,1,,,,1,,,2,,5
Knightdale,,,,,,,,,1,,1,,2
Kure Beach,,,,1,,,,,,,,,1
La Grange,,,,,,,,,,1,,,1
Lake Junaluska,,,1,,,1,,,,,,,2
Lake Lure,,,,,1,,,2,,,,,3
Lake Norman,,,,,,,,,1,,,,1
Lake Waccamaw,,1,,,,,,,1,,,1,3
Lake Wylie,,,,,,,,,1,,,,1
Landis,,,,,,,,,,1,,,1
Lattimore,,,,,,,,1,,,,,1
Laurinburg,,,,1,,,,,,1,,,2
Lawsonville,,,1,,,,,,,,,,1
Leland,2,,,1,1,,,,1,,1,,6
Lenoir,,,,1,1,,2,,,1,1,,6
Lewisville,,,,2,,,,,,,,,2
Lexington,,,,3,1,,,2,,,1,1,8
Lillington,,1,1,1,1,,,,,,2,,6
Lincolnton,,,2,2,2,,,,1,2,,2,11
Linville,,,,,,,1,,,,,,1
Littleton,,,,,,,,,1,,,,1
Locust,,,,,,,,,,1,,,1
Louisburg,,,,1,,,,,,,,,1
Lumberton,,,1,1,,,,,,1,,,3
Madison,,,,,1,,,,,,,,1
Maggie Valley,,,,,,,,2,,,,,2
Maiden,,,,,1,,,,,,,1,2
Manteo,,,,,1,,,,3,,,,4
Marion,,,,,,,,,,1,1,,2
Mars Hill,,,,2,,,,,,,,,2
Matthews,,,,1,2,1,,,3,4,,1,12
Mayodan,,,1,,,,,,,,1,,2
Maysville,,,,,1,,,,,,,,1
McAdenville,,,,,,,,,1,,1,,2
Mebane,,,,1,,,,,1,1,,,3
Merry Hill,,,,1,,1,,,,,,,2
Middlesex,,,,1,,,,,1,,,,2
Mills River,,,,,,,,1,1,3,,,5
Mint Hill,,,,,1,,,,,,,,1
Mocksville,,1,1,1,2,,,,,,,,5
Moncure,,,,1,,,,,,,,,1
Monroe,,,1,5,1,,,,,1,,,8
Mooresboro,,,1,,,,,,,,,,1
Mooresville,,,2,2,7,,1,,1,2,2,1,18
Morehead City,,,2,2,,,,,1,2,1,,8
Morganton,1,,1,2,3,1,,,2,4,2,1,17
Morrisville,,,,2,,,1,2,2,1,,,8
Mount Airy,,,2,1,,,,1,,1,1,1,7
Mount Gilead,,,,,,,,,,,1,,1
Mount Holly,,,1,,1,,,,,,,,2
Mount Mourne,,,,,,,,,,,,1,1
Mount Olive,,,1,1,,,,,,,1,,3
Mount Pleasant,,,1,,,,,,,,,,1
Mount Ulla,,1,,,,,,,,,1,,2
Mt. Gilead,,,,,,,,,,1,,,1
Mt. Ulla,,,,,,,,,,,,1,1
Murfreesboro,,,,,,,,1,,,,,1
Murphy,,,,,,,,,2,,1,,3
Nags Head,,,,1,1,3,3,3,,,1,,12
Nashville,,,,,,,,,,1,,,1
Nebo,,,,,1,,,,1,,1,,3
New Bern,,1,1,1,4,2,1,,1,4,2,1,18
New Hill,1,,,1,,,,,,,,,2
Newland,,,,1,,,,,,1,,,2
Newport,,,1,1,,,,,,,1,,3
Newton,1,,,2,1,,,2,,1,3,,10
Newton Grove,,,,,,,,,1,,,,1
North Mills River,,,,1,,,,,,,,,1
North Topsail Beach,,,,,,,1,,,,,,1
Norwood,,,,,,1,,,,,,,1
Oak Island,,1,,1,,1,,,,,,,3
Oak Ridge,,,,,1,,,1,1,4,,,7
Oakboro,,,,,,1,,,,,,,1
Ocean Isle Beach,1,,,1,,,,,1,1,1,,5
Ocracoke,,,,1,,,,,,,,,1
Old Fort,,,1,,,,,,,,,,1
Oxford,,,2,,,,,,1,,,,3
Parkton,,,,,,,,,1,,,,1
Pembroke,,,,,,,1,1,1,,,,3
Pfafftown,,1,,,,,,,,,,,1
Pilot Mountain,,,1,1,2,,,,,3,,,7
Pine Level,,,,1,,,,,,,,,1
Pinehurst,,,,,,,,1,2,5,1,,9
Pink Hill,,,,,,,,,,,1,,1
Pinnacle,,,,,,1,,,,,1,1,3
Pisgah Forest,,1,,,1,,,,,,,,2
Pittsboro,,,,,1,1,,,2,3,,1,8
Pleasant Garden,,,1,,2,,1,,,,,,4
Plymouth,,,,,,1,,,,,,,1
Polkton,,,,,,,,1,,1,,,2
Pollocksville,,,,,,,,,,1,,,1
Raeford,,,,,3,,,,,1,,,4
Raleigh,1,3,14,14,16,10,3,4,15,12,14,2,108
Ramseur,,,,1,1,,,,1,,,,3
Randleman,,,,,,,,,1,,1,,2
Red Oak,,,,,,,,,,1,,,1
Reidsville,,,1,1,2,,,,,,1,1,6
Research Triangle Park,,,1,,,,,,1,1,,,3
Richlands,,,,,,1,,,,,,1,2
Ridgecrest,,,,,,1,,,,,,,1
Ridgeway,,,,,,,1,,,,,,1
Roanoke Rapids,,,,,,1,,,,,,,1
Robbins,,,,,,,1,,,,,,1
Rockingham,,,,1,1,,,,1,,1,,4
Rockwell,,,,1,,,,,,1,,,2
Rocky Mount,,1,,,2,,,,1,1,,,5
Rolesville,,,,1,1,,,,,,1,,3
Roseboro,,,,,,1,,,,,,,1
Rougemont,,,,,,,,1,,,,,1
Roxboro,,,,1,,1,,,1,,,,3
Rural Hall,,,,,,,,,,1,,,1
Rutherford College,,1,,,,,,,,,,,1
Rutherfordton,,,,,,,,,,2,,,2
Salisbury,1,1,3,1,5,2,2,2,1,6,2,1,27
Saluda,,,,,,,1,,1,,,,2
Sanford,,1,,1,1,1,,1,,3,1,,9
Saxapahaw,,,,,,,,,1,,,,1
Scotland Neck,,,,,,,,2,,,,,2
Selma,,,,,,,,,,2,,,2
Shallotte,1,,,,,,,,,,1,,2
Shelby,,,,3,2,,,2,1,1,1,,10
Sherrills Ford,,,1,,,,,,,,,1,2
Siler City,,,,,1,,,,,,,,1
Sims,,,,,,,,1,,,,,1
Smithfield,,,,1,1,1,,,,1,1,,5
Sneads Ferry,,,,,,,,,,1,1,,2
South Mills,,,,,,,,,1,,,,1
Southern Pines,1,,,,,1,1,,2,3,,,8
Southern Shores,,,,,,1,,,,,,1,2
Southport,,,1,1,,1,,,,,,,3
Sparta,,,,,,,,1,,,,,1
Spencer,,,,,,,,,,,1,,1
Spindale,,,,,,,,,,,1,,1
Spiveys Corner,,,,,,,,,1,,,,1
Spring Hope,,,,,1,,,,,,,,1
Spring Lake,,1,,,,,,,,1,,,2
Spruce Pine,,1,2,,2,,2,1,,,1,,9
Stanley,,,,,,,,,1,,,,1
Star,,,,,,,,,,,,1,1
Statesville,1,1,4,3,1,1,3,,1,4,1,2,22
Stony Point,,,,,,,,,,1,,,1
Summerfield,,,,,,,,,1,,,,1
Sunset Beach,,,,,1,,,1,,1,,,3
Surf City,,,,,1,,,,,,,1,2
Swanannoa,,,,,,1,,,,,,,1
Swannanoa,,,,,,,,,,1,1,,2
Swansboro,,,,,,,,,,2,3,,5
Sylva,,,1,,,,,,,,,,1
Tabor City,,,,,1,1,1,,1,2,1,,7
Tarboro,,,,1,,,,,,1,1,,3
Taylorsville,,,,1,1,1,,,,1,2,,6
Thomasville,,,,1,1,1,,,,2,,,5
Topsail Beach,,,,,,,1,,,1,,,2
Trenton,,,,1,,,,,,,,,1
Trinity,,,,1,1,,,,,,,,2
Troutman,,,1,,,,1,,2,,,,4
Troy,,,2,,,,,,,,,,2
Tryon,,,,,,,,,1,,1,1,3
Union Grove,,,,,1,,,,,,,,1
Union Mills,1,,,,,,,,,,,,1
Uwharrie National Forest,,1,,,,,,,,,,,1
Valdese,,,,1,,,,1,,,,,2
Verona,,1,,,,,,,,,,,1
Wadesboro,,,,,,,,,,1,,1,2
Wagram,,,,1,2,,,,,,,,3
Wake Forest,,,1,3,1,1,,,1,4,1,,12
Wallace,,,,,1,,,,,1,,,2
Washington,,,2,2,1,,1,,,,1,,7
Waxhaw,2,,2,,1,,1,1,1,,1,1,10
Waynesville,,,,1,1,,,2,,2,,,6
Weaverville,,1,1,,,,1,,,,,,3
Weddington,,,,,1,,,,,,,,1
Wendell,,,,,,,,,,1,,,1
Wentworth,,,,,,,,,1,,,,1
West Jefferson,,,,,,1,,,,,,1,2
Whispering Pines,,,1,,,,,,,,,,1
White Lake,,,,,3,,,,2,,,,5
