City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Walton,,,,,1,,,,,,,,1
Wamego,,,1,1,,1,,,,,,,3
Waverly,,,,,,,1,1,,,,,2
Wellington,,,,,,,1,,,,,1,2
Wichita,1,4,2,7,9,9,5,3,10,12,9,5,76
Wilson,,,,,1,1,1,,,,,,3
Wilson State Park,,,,,,,,,,1,,,1
Winchester,,,,,,,,,1,,,,1
Winfield,,,,2,,1,,,,,,,3
Total,7,20,30,61,68,61,47,59,80,83,41,19,576
